id,name,summary,space,description,neighborhood_overview,notes,transit,host_about,host_listings_count,host_total_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month,amenities_count,price_float,sd,cf,ep,weekly_price_float,monthly_price_float,host_is_super_host,host_response_rate_float,review_true_score,cancel_policy_code,property_code,neighbourhood_code,room_code,zipcode_code
4520099.0,5.0,44.0,31.0,175.0,24.0,42.0,29.0,0.0,1.0,1.0,47.63981586823574,-122.37433846349177,3.0,1.0,1.0,2.0,3.0,2.0,1125.0,4.0,85.0,8.0,9.0,7.0,10.0,9.0,9.0,1.0,0.33,14.0,80.0,0.0,65.0,50.0,500.0,2172.5,0.0,0.71,0.2805,2,1,13,1,15
5978498.0,5.0,41.0,174.0,172.0,79.0,39.0,5.0,0.0,1.0,1.0,47.640633234573535,-122.37270939338377,4.0,3.0,3.0,2.0,1.0,4.0,120.0,8.0,88.0,9.0,9.0,9.0,9.0,10.0,9.0,1.0,1.31,16.0,175.0,200.0,80.0,0.0,699.0,2388.0,0.0,0.6,1.1528,0,10,13,1,15
7680289.0,6.0,37.0,91.0,155.0,34.0,10.0,15.0,7.0,2.0,2.0,47.63981018787381,-122.37380062876858,4.0,1.0,1.0,2.0,2.0,2.0,365.0,19.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,4.35,16.0,125.0,0.0,50.0,25.0,800.0,2700.0,0.0,1.0,4.132499999999999,1,1,13,1,15
5062445.0,5.0,42.0,85.0,177.0,61.0,0.0,30.0,125.0,1.0,1.0,47.63497873047923,-122.35886941246471,1.0,1.0,1.0,1.0,1.0,1.0,1125.0,7.0,97.0,9.0,8.0,10.0,10.0,10.0,10.0,1.0,0.9,11.0,45.0,0.0,0.0,0.0,450.0,1500.0,0.0,0.31,0.873,0,10,13,2,15
8925878.0,6.0,39.0,69.0,179.0,45.0,36.0,25.0,7.0,2.0,2.0,47.63936210298089,-122.37240255654484,4.0,1.0,1.0,2.0,2.0,2.0,365.0,2.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,0.83,12.0,150.0,0.0,50.0,25.0,950.0,2950.0,0.0,1.0,0.83,1,1,13,1,15
6389657.0,4.0,50.0,26.0,194.0,68.0,28.0,23.0,76.0,1.0,1.0,47.634616284308606,-122.3580227325536,2.0,1.0,0.0,1.0,1.0,3.0,1125.0,11.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,1.98,20.0,80.0,0.0,20.0,0.0,560.0,2433.2,1.0,1.0,1.9404,0,1,13,1,9
4218733.0,6.0,25.0,145.0,170.0,41.0,82.0,49.0,36.0,1.0,1.0,47.63800137747845,-122.36100481691408,4.0,1.0,1.0,2.0,2.0,2.0,1125.0,71.0,90.0,10.0,8.0,10.0,10.0,10.0,9.0,1.0,4.7,17.0,110.0,100.0,40.0,15.0,770.0,3345.65,0.0,1.0,4.23,1,1,13,1,15
2715623.0,5.0,38.0,168.0,163.0,104.0,38.0,61.0,174.0,1.0,1.0,47.63199585097701,-122.3716576650487,3.0,1.0,1.0,2.0,2.0,3.0,365.0,9.0,91.0,9.0,10.0,9.0,9.0,10.0,10.0,1.0,0.46,11.0,148.0,0.0,100.0,20.0,1036.0,4501.42,0.0,1.0,0.41859999999999997,2,10,13,1,15
1392332.0,4.0,44.0,182.0,183.0,39.0,26.0,98.0,10.0,1.0,1.0,47.63868624334983,-122.37079986877468,4.0,1.5,2.0,2.0,4.0,2.0,30.0,41.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1.0,1.38,17.0,350.0,500.0,100.0,0.0,2100.0,9124.5,0.0,0.0,1.3523999999999998,1,10,13,1,15
7308567.0,6.0,46.0,63.0,195.0,77.0,43.0,84.0,58.0,1.0,1.0,47.63365004372054,-122.36044969320193,3.0,1.5,1.0,2.0,1.0,2.0,1125.0,18.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,3.35,15.0,150.0,0.0,50.0,0.0,1050.0,4562.25,1.0,1.0,3.283,1,1,13,1,15
